Freq Drug Use,q40,q41,q45,q46,q47,q48,q60,q61,q43_6.0,q34_2.0
False,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1
True,5.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,0,0
True,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
True,6.0,2.0,5.0,6.0,6.0,3.0,8.0,3.0,0,0
False,3.0,5.0,1.0,3.0,5.0,1.0,6.0,2.0,0,0
False,2.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,0,0
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
True,2.0,6.0,1.0,2.0,6.0,1.0,7.0,2.0,0,0
False,3.0,6.0,2.0,1.0,1.0,1.0,8.0,4.0,1,1
False,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1
True,0.0,4.0,6.0,6.0,3.0,6.0,8.0,7.0,0,0
True,3.0,5.0,1.0,7.0,6.0,2.0,2.0,7.0,0,0
True,6.0,2.0,6.0,7.0,3.0,6.0,1.0,1.0,0,0
True,5.0,6.0,1.0,7.0,5.0,2.0,7.0,3.0,0,0
False,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,0.0,7.0,3.0,3.0,6.0,1.0,1.0,1.0,1,1
True,4.0,6.0,4.0,3.0,7.0,2.0,1.0,1.0,1,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
True,0.0,7.0,0.0,1.0,1.0,1.0,6.0,4.0,0,0
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
True,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0,0
True,6.0,5.0,0.0,7.0,5.0,6.0,4.0,6.0,0,0
False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1
False,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,0,1
False,5.0,6.0,1.0,4.0,6.0,1.0,6.0,7.0,0,0
False,1.0,1.0,1.0,2.0,6.0,1.0,8.0,2.0,0,0
False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
True,2.0,7.0,3.0,1.0,1.0,1.0,5.0,2.0,1,0
True,7.0,2.0,0.0,7.0,2.0,6.0,2.0,7.0,0,0
